numero_arrete,titre,date_publication,lien,pdf_url,is_circulation,contenu_preview,file_hash,date_scrape,pdf_s3_url,poids_pdf_ko
2023-01413,Arrêté n°2023-01413 du 17 novembre 2023 modifiant provisoirement la circulation rue Jacques Ibert à Paris 17ème le 10 décembre 2023 à l'occasion de la fête de HANOUCAH,17/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arret%C3%A9%202023-01413%20rue%20Jacques%20Ibert%202023%20-%20PDF.pdf,True,17/11/2023Arrêté n°2023-01413 du 17 novembre 2023 modifiant provisoirement la circulation rue Jacques Ibert à Paris 17ème le 10 décembre 2023 à l'occasion de la fête de HANOUCAH,6e6cca3f,2025-12-08T05:31:05.620628,s3://parisarretes/arretes/2025/2023-01413_6e6cca3f.pdf,65.32
2023-01414,"Arrêté n° 2023-01414 modifiant provisoirement la circulation place d'Iéna à Paris 16ème, le 22 novembre 2023",17/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arret%C3%A9%202023-01414%20DT%2073852%20-PDF%20.pdf,True,"17/11/2023Arrêté n° 2023-01414 modifiant provisoirement la circulation place d'Iéna à Paris 16ème, le 22 novembre 2023",b8b36744,2025-12-08T05:31:05.620798,s3://parisarretes/arretes/2025/2023-01414_b8b36744.pdf,65.25
2023-01405,Arrêté n° 2023-01405 du 14 novembre 2023 modifiant provisoirement le stationnement et la circulation rue de Lobau à Paris Centre le 18 novembre 2023,14/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_2023_01405_14112023.pdf,True,14/11/2023Arrêté n° 2023-01405 du 14 novembre 2023 modifiant provisoirement le stationnement et la circulation rue de Lobau à Paris Centre le 18 novembre 2023,e158af42,2025-12-08T05:31:05.621549,s3://parisarretes/arretes/2025/2023-01405_e158af42.pdf,84.51
2023-01406,"Arrêté préfectoral n°2023-01406 du 14 novembre 2023 modifiant provisoirement le stationnement et la circulation dans certaines voies de Paris 17ème, à l'occasion de la 37ème édition de la course pédestre ""Les Boucles du 17ème"" le 26 novembre 2023",14/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arr%C3%AAt%C3%A9_2023-01406_du_14_NOV_2023.pdf,True,"14/11/2023Arrêté préfectoral n°2023-01406 du 14 novembre 2023 modifiant provisoirement le stationnement et la circulation dans certaines voies de Paris 17ème, à l'occasion de la 37ème édition de la co",6fc6edd2,2025-12-08T05:31:05.621920,s3://parisarretes/arretes/2025/2023-01406_6fc6edd2.pdf,1376.71
2023-01390,Arrêté N°2023-01390 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt (rencontre de football entre le Paris-Saint-Germain Football Club et l’Association Sportive de Monaco les 24 et,13/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2023_01390_11102023.pdf,True,13/11/2023Arrêté N°2023-01390 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt (rencontre de football entre le Paris-Saint-Ger,c8d6bc9c,2025-12-08T05:31:05.622712,s3://parisarretes/arretes/2025/2023-01390_c8d6bc9c.pdf,331.18
2023-01369,"Arrêté préfectoral n°2023-01369 du 9 novembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 8ème, 16ème, 17ème le 11 novembre 2023 à l’occasion de la cérémonie du centenaire du 1er allumage de la Flamme le 1",09/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01369_09112023.pdf,True,"09/11/2023Arrêté préfectoral n°2023-01369 du 9 novembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 8ème, 16ème, 17ème le 11 novembre 2023 à l’occasio",e80f3b56,2025-12-08T05:31:05.628424,s3://parisarretes/arretes/2025/2023-01369_e80f3b56.pdf,1024.38
2023-01368,"Arrêté préfectoral n°2023-01368 du 9 novembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 8ème 16ème, 17ème les 10 et 11 novembre 2023, à l’occasion de la cérémonie de commémoration du 105ème anniversaire",09/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01368_09112023.pdf,True,"09/11/2023Arrêté préfectoral n°2023-01368 du 9 novembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 8ème 16ème, 17ème les 10 et 11 novembre 2023, à l’",0b1583fe,2025-12-08T05:31:05.628794,s3://parisarretes/arretes/2025/2023-01368_0b1583fe.pdf,1204.84
2023-01362,Arrêté n° 2023-01362 modifiant provisoirement la circulation place de la Concorde à Paris 8ème du 9 novembre au 06 décembre 2023,08/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023_01362_08112023.pdf,True,08/11/2023Arrêté n° 2023-01362 modifiant provisoirement la circulation place de la Concorde à Paris 8ème du 9 novembre au 06 décembre 2023,92df28d3,2025-12-08T05:31:05.629162,s3://parisarretes/arretes/2025/2023-01362_92df28d3.pdf,74.99
2023-01361,"Arrêté N° 2023-01361 modifiant provisoirement la circulation à Paris Centre à l’occasion de l’inauguration des illuminations de Noël pour l’évènement « Il était une fois, Noël en forêt » au BHV Marais le 8 novembre 2023",08/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023_01361-08112023.pdf,True,"08/11/2023Arrêté N° 2023-01361 modifiant provisoirement la circulation à Paris Centre à l’occasion de l’inauguration des illuminations de Noël pour l’évènement « Il était une fois, Noël en forêt » au ",ca170778,2025-12-08T05:31:05.629548,s3://parisarretes/arretes/2025/2023-01361_ca170778.pdf,87.98
2023-01355,"Arrêté n° 2023-01355 du 7 novembre 2023 modifiant provisoirement la circulation sur plusieurs voies à Paris Centre et 09ème les 8, 10, 11 et 12 novembre 2023",08/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01355_07112023.pdf,True,"08/11/2023Arrêté n° 2023-01355 du 7 novembre 2023 modifiant provisoirement la circulation sur plusieurs voies à Paris Centre et 09ème les 8, 10, 11 et 12 novembre 2023",52faa091,2025-12-08T05:31:05.629726,s3://parisarretes/arretes/2025/2023-01355_52faa091.pdf,132.01
