numero_arrete,titre,date_publication,lien,pdf_url,is_circulation,contenu_preview,file_hash,date_scrape,pdf_s3_url,poids_pdf_ko
2025-00256,"Arrêté n°2025-00256 modifiant provisoirement le stationnement et la circulation à Paris 9e, à l'occasion de la course pédestre Les 10km du neuf le 23 mars 2025",26/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_n_2025_00256_du_26_fev_2025_s.pdf,True,"26/02/2025Arrêté n°2025-00256 modifiant provisoirement le stationnement et la circulation à Paris 9e, à l'occasion de la course pédestre Les 10km du neuf le 23 mars 2025",e4c7ba75,2025-12-20T05:28:18.845183,s3://parisarretes/arretes/2025/2025-00256_e4c7ba75.pdf,1426.1
2025-00253,Arrêté n°2025-00253 modifiant provisoirement le stationnement et la circulation rue Washington à Paris 8ème les 11 et 12 mars 2025,26/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025_00253_26022025.pdf,True,26/02/2025Arrêté n°2025-00253 modifiant provisoirement le stationnement et la circulation rue Washington à Paris 8ème les 11 et 12 mars 2025,e65dd571,2025-12-20T05:28:18.845365,s3://parisarretes/arretes/2025/2025-00253_e65dd571.pdf,61.01
2025-00254,"Arrêté n°2025-00254 modifiant provisoirement la circulation dans le bois de Boulogne à Paris 16e, à l'occasion de l'épreuve cycliste du duathlon le 16 mars 2025",26/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_n_2025_00254_du_26_fev_2025_s.pdf,True,"26/02/2025Arrêté n°2025-00254 modifiant provisoirement la circulation dans le bois de Boulogne à Paris 16e, à l'occasion de l'épreuve cycliste du duathlon le 16 mars 2025",4155e6e2,2025-12-20T05:28:18.845539,s3://parisarretes/arretes/2025/2025-00254_4155e6e2.pdf,1162.52
2025-00252,"Arrêté n°2025-00252 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion de la 24ème journée du championnat de France de football de Ligue 1 au Parc des Princes ...",26/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00252_26022025.pdf,False,"26/02/2025Arrêté n°2025-00252 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion de la 24ème journée du championnat de F",a943743f,2025-12-20T05:28:18.845917,s3://parisarretes/arretes/2025/2025-00252_a943743f.pdf,593.12
2025-00251,Arrêté n°2025-00251 instituant un périmètre de protection et différentes mesures de police à l’occasion de la 24ème journée du championnat de France de football de Ligue 1 au Parc des Princes le samedi 1er mars 2025,26/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00251_26022025.pdf,False,26/02/2025Arrêté n°2025-00251 instituant un périmètre de protection et différentes mesures de police à l’occasion de la 24ème journée du championnat de France de football de Ligue 1 au Parc des Prince,bf6bbb0e,2025-12-20T05:28:18.846311,s3://parisarretes/arretes/2025/2025-00251_bf6bbb0e.pdf,520.83
2025-00249,"Arrêté  n°2025-00249 autorisant la captation, l’enregistrement  et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion d’une manifestation à Paris le 26 février 2025",25/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_drones_manifestation_congo_26_fev_export.pdf,False,"25/02/2025Arrêté  n°2025-00249 autorisant la captation, l’enregistrement  et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion d’une manifestation à Paris le 26 fév",00812332,2025-12-20T05:28:18.846497,s3://parisarretes/arretes/2025/2025-00249_00812332.pdf,1251.67
2025-00246,Arrêté n°2025-00246 portant interdiction de la représentation de M. Dieudonné M’BALA M’BALA le 26 février 2025,25/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00246_25022025.pdf,False,25/02/2025Arrêté n°2025-00246 portant interdiction de la représentation de M. Dieudonné M’BALA M’BALA le 26 février 2025,5f64c11b,2025-12-20T05:28:18.846665,s3://parisarretes/arretes/2025/2025-00246_5f64c11b.pdf,812.37
2025-00243,Arrêté n°2025-00243 instituant un périmètre de protection et différentes mesures de police applicables à Paris du 28 février au 1er mars 2025 à l’occasion de la cérémonie des César,24/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00243_24022025.pdf,False,24/02/2025Arrêté n°2025-00243 instituant un périmètre de protection et différentes mesures de police applicables à Paris du 28 février au 1er mars 2025 à l’occasion de la cérémonie des César,1366d740,2025-12-20T05:28:18.846833,s3://parisarretes/arretes/2025/2025-00243_1366d740.pdf,655.34
2025-00242,Arrêté n°2025-00242 modifiant l'arrêté 2025-00241 du 21 Février 2025 autorisant la captation l'enregistrement et la transmission d'images au moyen de caméras installées sur des aéronefs à l'occasion d'une manifestation à Paris le 23 Février 2025,23/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrt20_2.PDF,False,23/02/2025Arrêté n°2025-00242 modifiant l'arrêté 2025-00241 du 21 Février 2025 autorisant la captation l'enregistrement et la transmission d'images au moyen de caméras installées sur des aéronefs à l',ae51b895,2025-12-20T05:28:18.847198,s3://parisarretes/arretes/2025/2025-00242_ae51b895.pdf,1534.29
2025-00241,"Arrêté n°2025-00241 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion d’une manifestation à Paris le 23 février 2025",21/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00241_21022025.pdf,False,"21/02/2025Arrêté n°2025-00241 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion d’une manifestation à Paris le 23 févri",d7010ba0,2025-12-20T05:28:18.847397,s3://parisarretes/arretes/2025/2025-00241_d7010ba0.pdf,557.2
2025-00240,Arrêté n°2025-00240 portant interdiction partielle d’une manifestation déclarée pour le 23 février 2025 à Paris,21/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00240_21022025.pdf,False,21/02/2025Arrêté n°2025-00240 portant interdiction partielle d’une manifestation déclarée pour le 23 février 2025 à Paris,92ccc895,2025-12-20T05:28:18.847586,s3://parisarretes/arretes/2025/2025-00240_92ccc895.pdf,682.93
2025-00236,Arrêté n°2025-00236 portant interdiction totale d’une manifestation non déclarée à Paris le 20 février 2025,20/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00236_20022025.pdf,False,20/02/2025Arrêté n°2025-00236 portant interdiction totale d’une manifestation non déclarée à Paris le 20 février 2025,725942bf,2025-12-20T05:28:18.847751,s3://parisarretes/arretes/2025/2025-00236_725942bf.pdf,500.44
2025-0180,Arrêté DUPA n° 2025-0180 portant autorisation de l’emploi d’un traitement algorithmique sur des images issues d’un système de vidéoprotection à l’occasion du salon international de l’agriculture du 22 février 2025 au 2 mars 2025 inclus.,20/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_dupa_ndeg_2025-0180_dilt_salon_de_l_agriculture_ss.pdf,False,20/02/2025Arrêté DUPA n° 2025-0180 portant autorisation de l’emploi d’un traitement algorithmique sur des images issues d’un système de vidéoprotection à l’occasion du salon international de l’agricul,951cddbf,2025-12-20T05:28:18.848122,s3://parisarretes/arretes/2025/2025-0180_951cddbf.pdf,1825.68
2025-00234,Arrêté préfectoral n°2025-00234 du 20 février 2025 modifiant provisoirement la circulation dans certaines voies à Paris 16ème à l’occasion de la 1ère édition de la course pédestre « Les 10 km de l’UNICEF » le 2 mars 2025 et retirant l’arrêté n°2025-00210,20/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025_00234_20022025.pdf,True,20/02/2025Arrêté préfectoral n°2025-00234 du 20 février 2025 modifiant provisoirement la circulation dans certaines voies à Paris 16ème à l’occasion de la 1ère édition de la course pédestre « Les 10 k,062c2033,2025-12-20T05:28:18.848527,s3://parisarretes/arretes/2025/2025-00234_062c2033.pdf,69.29
2025-00235,Arrêté préfectoral n°2025-00235 du 20 février 2025 créant une aire piétonne temporaire dans certaines voies du 8ème arrondissement de Paris à l’occasion de la manifestation « Piétonisation des Champs Elysées » le 2 mars 2025.,20/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_202500235_20022025.pdf,False,20/02/2025Arrêté préfectoral n°2025-00235 du 20 février 2025 créant une aire piétonne temporaire dans certaines voies du 8ème arrondissement de Paris à l’occasion de la manifestation « Piétonisation d,b5c3f49b,2025-12-20T05:28:18.848897,s3://parisarretes/arretes/2025/2025-00235_b5c3f49b.pdf,74.89
2025-00233,Arrêté préfectoral n° 2025-00233 du 20 février 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l'occasion de la rencontre de football entre le Paris Saint-Germain Football C,20/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025-00233_20022025.pdf,True,20/02/2025Arrêté préfectoral n° 2025-00233 du 20 février 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l'occasion de,26ab96e3,2025-12-20T05:28:18.849278,s3://parisarretes/arretes/2025/2025-00233_26ab96e3.pdf,3821.55
2025-00226,Arrêté n°2025-00226 portant réglementation des horaires de fermeture de commerces dans certaines voies du 18ème arrondissement de Paris du 22 février 2025 au 31 mars 2025,20/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00226_20022025.pdf,False,20/02/2025Arrêté n°2025-00226 portant réglementation des horaires de fermeture de commerces dans certaines voies du 18ème arrondissement de Paris du 22 février 2025 au 31 mars 2025,1de32dbd,2025-12-20T05:28:18.849458,s3://parisarretes/arretes/2025/2025-00226_1de32dbd.pdf,498.85
2025-00221,Arrêté n°2025-00221 portant mesures de police applicables à Paris et dans les Hauts-de-Seine (92) du 22 février au 2 mars 2025 à l’occasion du Salon international de l’agriculture.,19/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00221_19022025.pdf,False,19/02/2025Arrêté n°2025-00221 portant mesures de police applicables à Paris et dans les Hauts-de-Seine (92) du 22 février au 2 mars 2025 à l’occasion du Salon international de l’agriculture.,333abb8b,2025-12-20T05:28:18.849629,s3://parisarretes/arretes/2025/2025-00221_333abb8b.pdf,604.29
2025-00222,"Arrêté n°2025-00222 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à Paris les 19 et 20 février 2025",19/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00222_19022025.pdf,False,"19/02/2025Arrêté n°2025-00222 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à Paris les 19 et 20 février 2025",d32dcc98,2025-12-20T05:28:18.849799,s3://parisarretes/arretes/2025/2025-00222_d32dcc98.pdf,609.58
2025-00223,"Arrêté n°2025-00223 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à Paris et en Seine-Saint-Denis (93) les 19 et 20 février 2025",19/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00223_19022025.pdf,False,"19/02/2025Arrêté n°2025-00223 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à Paris et en Seine-Saint-Denis (93) les 19 et 20 fé",7521ca97,2025-12-20T05:28:18.849963,s3://parisarretes/arretes/2025/2025-00223_7521ca97.pdf,657.26
